Complexidade,Tamanho,Tempo_Medio,Fator_Crescimento,Taxa_por_Tamanho
O(n log n),10,0,NA,NA
O(n log n),100,0,NA,NA
O(n log n),1000,0,NA,NA
O(n log n),10000,0.0013333333333333333,Inf,Inf
O(n log n),100000,0.015083333333333334,Inf,1031.25
O(n log n),500000,0.056,Inf,271.2707182320442
O(n log n),5000000,0.38825,Inf,593.3035714285713
O(n log n),50000000,5.602,Inf,1342.884739214424
O(n log n) / O(n²),10,0,NA,NA
O(n log n) / O(n²),100,0,NA,NA
O(n log n) / O(n²),1000,0.0013333333333333333,Inf,Inf
O(n log n) / O(n²),10000,0.035333333333333335,Inf,2550.0000000000005
O(n log n) / O(n²),100000,2.075,Inf,5772.641509433963
O(n²),10,0,NA,NA
O(n²),100,0,NA,NA
O(n²),1000,0.0017777777777777779,Inf,Inf
O(n²),10000,0.042888888888888886,Inf,2312.4999999999995
O(n²),100000,4.8598888888888885,Inf,11231.347150259067
